Sr.No,Round,Institute,Program,Stream,Quota,Category,Opening Rank,Closing Rank
1,Round 1,"Kalyani Goverment Engineering College, Kalyani, Nadia",Information Technology,B.E/B. Tech,Home State,OBC - A,4219.0,5754
2,Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Information Technology,B.E/B. Tech,Home State,OBC - A,7497.0,10864
3,Round 1,"Jalpaiguri Goverment Engineering College,Jalpaiguri",Information Technology,B.E/B. Tech,Home State,OBC - A,6865.0,7411
4,Round 1,"Govt. College of Engineering & Textile Technology, Serampore",Information Technology,B.E/B. Tech,Home State,OBC - A,11522.0,11933
5,Round 1,"Camellia Institute of Technology, Badu Road, Madhyamgram",Information Technology,B.E/B. Tech,Home State,OBC - A,51314.0,51314
6,Round 1,"Bengal Institute of Technology & Management, Santiniketan",Information Technology,B.E/B. Tech,Home State,OBC - A,42254.0,61280
7,Round 1,"Budge Budge Institute of Technology, Budge-Budge",Information Technology,B.E/B. Tech,Home State,OBC - A,42583.0,62153
8,Round 1,"Guru Nanak Institute of Technology, Panihati, Sodepur",Information Technology,B.E/B. Tech,Home State,OBC - A,32645.0,32645
9,Round 1,"Jis College of Engineering, Kalyani, Nadia",Information Technology,B.E/B. Tech,Home State,OBC - A,33184.0,33184
10,Round 1,Jadavpur University,Information Technology,B.E/B. Tech,Home State,OBC - A,759.0,1207
11,Round 1,"Narula Institute of Technology, Agarpara, Kolkata",Information Technology,B.E/B. Tech,Home State,OBC - A,26294.0,26294
12,Round 1,"Maulana Abul Kalam Azad University of Technology, West Bengal",Information Technology,B.E/B. Tech,Home State,OBC - A,8194.0,10437
13,Round 1,"University of Kalyani, Science Instrumentation Centre",Information Technology,B.E/B. Tech,Home State,OBC - A,5659.0,7586
14,Round 1,University Of Calcutta,Information Technology,B.E/B. Tech,Home State,OBC - A,3193.0,3366
15,Round 1,"Abacus Institute of Engineering & Management, Mogra, Hooghly",Mechanical Engineering,B.E/B. Tech,Home State,OBC - A,57381.0,57381
16,Round 1,"Ghani Khan Choudhury Institute of Engineering & Technology, Malda",Mechanical Engineering,B.E/B. Tech,Home State,OBC - A,11077.0,16654
17,Round 1,"Kalyani Goverment Engineering College, Kalyani, Nadia",Mechanical Engineering,B.E/B. Tech,Home State,OBC - A,5581.0,6935
18,Round 1,"Ramkrishna Mahato Government Engineering College, Purulia",Mechanical Engineering,B.E/B. Tech,Home State,OBC - A,14489.0,18317
19,Round 1,"Govt. College of Engg. & Textile Technology, Berhampore",Mechanical Engineering,B.E/B. Tech,Home State,OBC - A,12678.0,14476
20,Round 1,"Cooch Behar Government Engineering College, Cooch Behar",Mechanical Engineering,B.E/B. Tech,Home State,OBC - A,15747.0,16010
21,Round 1,"Jalpaiguri Goverment Engineering College,Jalpaiguri",Mechanical Engineering,B.E/B. Tech,Home State,OBC - A,7233.0,11892
22,Round 1,Jadavpur University,Mechanical Engineering,B.E/B. Tech,Home State,OBC - A,2683.0,4416
23,Round 1,Jadavpur University,Chemical Engineering,B.E/B. Tech,Home State,OBC - A,3341.0,4747
24,Round 1,University Of Calcutta,Chemical Engineering,B.E/B. Tech,Home State,OBC - A,5506.0,5506
25,Round 1,Jadavpur University,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,Home State,OBC - A,170.0,734
26,Round 1,"Calcutta Institute of Technology, Uluberia, Howrah",Chemical Engineering,B.E/B. Tech,Home State,OBC - A,32737.0,61599
27,Round 1,University Of Calcutta,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,Home State,OBC - A,2197.0,2197
28,Round 1,"Maulana Abul Kalam Azad University of Technology, West Bengal",COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,Home State,OBC - A,5767.0,7935
29,Round 1,"Institute of Science and Technology, Paschim Medinipur",COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,Home State,OBC - A,33693.0,33693
30,Round 1,"Jld Engineering and Management College, Baruipur",COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,Home State,OBC - A,59436.0,59436
31,Round 1,"Narula Institute of Technology, Agarpara, Kolkata",COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,Home State,OBC - A,17027.0,17027
32,Round 1,"Jis College of Engineering, Kalyani, Nadia",COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,Home State,OBC - A,29147.0,29147
33,Round 1,"Imps College of Engineering & Technology, Malda",COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,Home State,OBC - A,46764.0,46764
34,Round 1,"Ideal Institute of Engineering, Kalyani",COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,Home State,OBC - A,26869.0,62487
35,Round 1,"Pailan College of Management & Technology, Pailan Park",COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,Home State,OBC - A,53760.0,53760
36,Round 1,"Murshidabad College of Engineering & Technology, Murshidabad",COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,Home State,OBC - A,36282.0,54345
37,Round 1,"Seacom Engineering College, Sankrail, Howrah",COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,Home State,OBC - A,58377.0,58377
38,Round 1,"Guru Nanak Institute of Technology, Panihati, Sodepur",COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,Home State,OBC - A,26177.0,26177
39,Round 1,"Dr.Sudhir Chandra Sur Institute of Technology and Sports Complex, Dum Dum",COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,Home State,OBC - A,55505.0,55505
40,Round 1,"Durgapur Institute of Advanced Technology & Management, Durgapur",COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,Home State,OBC - A,33731.0,53933
41,Round 1,"Dumkal Institute of Engineering & Technology, Dumkal, Murshidabad",COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,Home State,OBC - A,58182.0,58182
42,Round 1,"Global Institute of Management and Technology, Krishnanagar, Nadia",COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,Home State,OBC - A,63870.0,63870
43,Round 1,"Gargi Memorial Institute of Technology, Baruipur, Kolkata",COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,Home State,OBC - A,45977.0,45977
