Sr.No,Round,Institute,Program,Stream,Seat Type,Quota,Category,Opening Rank,Closing Rank
1,Round 1,Jadavpur University,Metallurgical Engineering,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,All India,Open,734,756
2,Round 1,Jadavpur University,Metallurgical Engineering,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,OBC - A,3968,5487
3,Round 1,Jadavpur University,Metallurgical Engineering,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,ST,30908,33734
4,Round 1,Jadavpur University,Metallurgical Engineering,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,SC,6371,8133
5,Round 1,University Of Calcutta,Jute & Fibre Technology (TFW),B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,Tuition Fee Waiver,8414,10352
6,Round 1,Jadavpur University,Metallurgical Engineering,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,Open,1134,1586
7,Round 1,Jadavpur University,Metallurgical Engineering,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,OBC - B,2368,2428
8,Round 1,Jadavpur University,Metallurgical Engineering,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,Open (PwD),82392,82392
9,Round 1,"Institute of Engineering & Management Kolkata, University of Engineering & Management Kolkata",COMPUTER SCIENCE AND INFORMATION TECHNOLOGY,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,All India,Open,3398,8140
10,Round 1,Jadavpur University,Architectural Engineering,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,OBC - A,8964,38657
11,Round 1,Jadavpur University,Architectural Engineering,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,OBC - B,9344,14373
12,Round 1,Jadavpur University,Architectural Engineering,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,Open,2963,8598
13,Round 1,Jadavpur University,Architectural Engineering,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,All India,Open,2100,2648
14,Round 1,"Dr.Sudhir Chandra Sur Institute of Technology and Sports Complex, Dum Dum",Automobile Engineering,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,All India,Open,51081,88570
15,Round 1,"Mckv Institute of Engineering, Liluah, Howrah",Automobile Engineering,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,All India,Open,12839,95573
16,Round 1,"Mckv Institute of Engineering, Liluah, Howrah",Automobile Engineering,B.E/B.Tech (JEE(Main) Seats),JEE(Main) Seats,All India,Open,350929,526402
17,Round 1,"Heritage Institute of Technology, Kolkata",Biotechnology (TFW),B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,Tuition Fee Waiver,12125,12190
18,Round 1,"Haldia Institute of Technology, Haldia, Purba Medinipur",Biotechnology (TFW),B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,Tuition Fee Waiver,18094,21430
19,Round 1,"Sanaka Education Trusts Group of Institutions, Durgapur, Burdwan",Architecture,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,All India,Open,37617,87170
20,Round 1,"Sanaka Education Trusts Group of Institutions, Durgapur, Burdwan",Architecture,B. Arch (JEE(Main) Seats),JEE(Main) Seats,All India,Open,9140,10316
21,Round 1,"Om Dayal Group of Institutions, Uluberia, Howrah",Architecture,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,All India,Open,13533,92187
22,Round 1,"Om Dayal Group of Institutions, Uluberia, Howrah",Architecture,B. Arch (JEE(Main) Seats),JEE(Main) Seats,All India,Open,1327,7054
23,Round 1,"Supreme Knowledge Foundation Group of Institutions, Mankundu, Hooghly",Computer Science & Engineering (Artificial Intelligence And Machine Learning) (TFW),B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,Tuition Fee Waiver,31614,34468
24,Round 1,"Sister Nivedita University, New Town",Computer Science & Engineering (Artificial Intelligence And Machine Learning) (TFW),B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,Tuition Fee Waiver,16363,21412
25,Round 1,"Institute of Engineering & Management Kolkata, University of Engineering & Management Kolkata",Computer Science & Engineering (Artificial Intelligence And Machine Learning) (TFW),B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,Tuition Fee Waiver,4265,4265
26,Round 1,"Bharat Technology, Uluberia, Howrah",B.Pharm/Pharmaceutical Technology,B. Pharma,WBJEE Seats,All India,Open,4262,46631
27,Round 1,"Bharat Technology, Uluberia, Howrah",B.Pharm/Pharmaceutical Technology,B. Pharma,WBJEE Seats,Home State,OBC - A,53428,60178
28,Round 1,"Bharat Technology, Uluberia, Howrah",B.Pharm/Pharmaceutical Technology,B. Pharma,WBJEE Seats,Home State,SC,56438,70805
29,Round 1,"Bharat Technology, Uluberia, Howrah",B.Pharm/Pharmaceutical Technology,B. Pharma,WBJEE Seats,Home State,OBC - B,51909,58386
30,Round 1,"Bharat Technology, Uluberia, Howrah",B.Pharm/Pharmaceutical Technology,B.E/B.Tech (JEE(Main) Seats),JEE(Main) Seats,All India,Open,467416,1059193
31,Round 1,"Bharat Technology, Uluberia, Howrah",B.Pharm/Pharmaceutical Technology,B. Pharma,WBJEE Seats,Home State,ST,79847,92992
32,Round 1,"Gupta College of Technological Sciences, Asansol, Burdwan",B.Pharm/Pharmaceutical Technology,B. Pharma,WBJEE Seats,Home State,SC,44897,74683
33,Round 1,"Gupta College of Technological Sciences, Asansol, Burdwan",B.Pharm/Pharmaceutical Technology,B. Pharma,WBJEE Seats,All India,Open,7977,42768
